PCA,Cluster,intra_cluster_dev,total_feature_dev,total_dev_lost,error
0,15,5095.452432,28800.000000,0.176925,
0,23,3200.248838,28800.000000,0.111120,
0,34,2241.592983,28800.000000,0.077833,
0,9,7719.467954,28800.000000,0.268037,
