runnable_processes,blocked_processes,swap_used,free_memory,buffer_memory,page_cache,swap_in,swap_out,blocks_in,blocks_out,interrupts,context_switches,user_cpu,system_cpu,idle_cpu,io_wait,steal_time,guest_time,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
1,0,354108,1357056,193040,266772,0,0,0,0,663,229,24,2,75,0,0,0,"0,7565929915","-0,886431429","-1,214131462","0,4744558478","-1,048474881","0,548679514","0,1061542243"
1,0,354108,2988148,193040,266772,0,0,0,0,714,302,24,1,74,0,0,0,"0,5809593906","-0,680957196","-1,868519733","1,183951578","0,3862251277","-0,98459939","-0,086498974"
1,0,354108,2302604,193040,266772,0,0,0,6,689,257,24,1,75,0,0,0,"0,3061633696","-0,862596591","-1,751679414","0,7540569092","-0,094207373","-0,262029001","-0,171741525"
1,0,354108,1542072,193048,267520,2,0,376,6,702,268,24,2,75,0,0,0,"1,0212371767","-0,81160713","-1,163295932","0,5997562452","-0,950302691","0,3623983843","0,1631075569"
1,0,354108,778096,193048,267520,0,0,0,0,696,249,24,1,75,0,0,0,"0,2489455159","-0,862583852","-1,509880633","-0,22096635","-1,131711729","1,286105098","-0,564986211"
1,0,354108,2486392,193048,267520,0,0,0,2,667,288,25,1,75,0,0,0,"0,3467715116","-0,197018928","-1,959708087","1,1130968877","-0,024830664","-0,47543946","-0,545458754"
1,0,354108,1726616,193048,267520,0,0,0,0,412,240,24,1,75,0,0,0,"-0,143514247","-1,135959427","-1,816886788","0,108591303","-0,346516294","0,2798912932","0,1018022783"
1,0,354108,966640,193072,267520,30,0,30,24,444,264,24,1,75,0,0,0,"-0,023893287","-1,090842888","-1,615275789","-0,230526049","-0,971562313","1,1012649869","-0,019623219"
1,0,354108,2676484,193072,267520,2,0,2,8,475,307,24,1,74,0,0,0,"0,2306265651","-0,908599854","-1,930153683","0,7812324617","0,2775223869","-0,698649018","0,1797587656"
1,0,354108,1919796,193072,267520,0,0,0,0,428,234,24,1,75,0,0,0,"-0,12114338","-1,126124601","-1,838549775","0,2394742959","-0,218747527","0,0842101962","0,1348757322"
1,0,354108,1162036,193080,267512,0,0,0,6,427,238,24,2,75,0,0,0,"0,4137044345","-1,10388911","-1,29593216","0,1464014245","-1,076075749","0,7146871307","0,3856719337"
1,0,354108,2843244,193080,267524,0,0,0,2,461,293,24,2,74,0,0,0,"0,7482319441","-0,89760065","-1,557984273","1,2267494366","0,0745447359","-1,017217064","0,7055763514"
1,0,354108,2106788,193080,267524,0,0,0,0,448,283,24,1,75,0,0,0,"-0,03131833","-1,044701803","-1,847208707","0,4273905","-0,128336085","-0,092438159","0,1098011818"
1,0,354108,1344948,193080,267524,0,0,0,0,425,236,24,1,75,0,0,0,"-0,143572485","-1,130090197","-1,750359","-0,124821901","-0,611314102","0,6689497409","-0,011708107"
1,0,354108,2974216,193088,267524,0,0,0,8,455,289,24,1,74,0,0,0,"0,1868858375","-0,949094706","-1,992564595","0,9282354996","0,5053450403","-1,010851379","0,2920206464"
1,0,354108,2294484,193088,267524,0,0,0,0,422,231,24,1,75,0,0,0,"-0,120988302","-1,132393326","-1,900215984","0,468004381","0,0416272507","-0,29847783","0,2440723319"
1,0,354108,1539108,193088,267524,0,0,0,0,440,256,24,1,75,0,0,0,"-0,093032792","-1,089428524","-1,768301862","0,0327654008","-0,497124501","0,477920856","-0,001133315"
1,0,354108,775592,193088,267524,0,0,0,2,437,245,24,1,75,0,0,0,"-0,135064526","-1,114294315","-1,651044033","-0,462656195","-1,011338712","1,251780828","-0,18679435"
1,0,354108,2490484,193096,267524,0,0,0,6,459,295,24,1,74,0,0,0,"0,181287974","-0,937717982","-1,91633409","0,6303455634","0,1697108127","-0,516977241","0,1570392917"
1,0,354108,1726324,193096,267524,0,0,0,0,421,237,24,1,75,0,0,0,"-0,135802363","-1,129469231","-1,811266126","0,1139717851","-0,349596217","0,2806282224","0,0926629315"
1,0,354108,962968,193096,267524,0,0,0,2,422,239,24,1,75,0,0,0,"-0,157529274","-1,134385844","-1,689414683","-0,364095576","-0,872987372","1,0577511508","-0,110655242"
1,0,354108,2668300,193104,267528,0,0,0,6,464,285,24,2,74,0,0,0,"0,7386481035","-0,911332214","-1,525252122","1,1144149716","-0,042464374","-0,840602027","0,6602179313"
1,0,354108,1907772,193104,267528,0,0,0,0,514,252,24,1,75,0,0,0,"0,0227875636","-1,021306081","-1,784691955","0,3299990395","-0,277473554","0,1122312304","-0,008692288"
1,0,354108,1149780,193104,267528,0,0,0,2,636,246,24,1,75,0,0,0,"0,1692944759","-0,92167402","-1,597801941","-0,041770742","-0,848862894","0,8989069053","-0,378908016"
1,0,354108,2842904,193104,267528,0,0,0,0,675,287,25,1,74,0,0,0,"0,5337565357","-0,095183124","-2,037250374","1,2753774171","0,2640483983","-0,875919101","-0,480971348"
1,0,354108,2098520,193112,267528,0,0,0,6,651,234,24,1,75,0,0,0,"0,2124294096","-0,921954568","-1,73402123","0,5635309127","-0,201288147","-0,066674364","-0,146562714"
1,0,354108,1361440,193112,267528,0,0,0,2,570,248,23,2,75,0,0,0,"0,6006378646","-1,583331273","-1,071344504","0,1736091898","-0,960522963","0,5621431004","0,653984698"
1,0,354108,2995996,193112,267528,0,0,0,0,720,350,24,1,74,0,0,0,"0,6378247815","-0,608967412","-1,846216775","1,2421044611","0,3629316935","-0,983044534","-0,135085023"
1,0,354108,2314532,193112,267528,0,0,0,0,677,259,24,1,75,0,0,0,"0,2826614447","-0,855360066","-1,755669076","0,7445986573","-0,07938157","-0,277409879","-0,145796512"
1,0,354108,1550900,193120,267528,0,0,0,8,675,247,24,1,75,0,0,0,"0,2436839393","-0,889685592","-1,630666678","0,2546588823","-0,594324071","0,4965936403","-0,33707837"
1,0,354108,795120,193120,267528,0,0,0,0,757,370,24,2,75,0,0,0,"1,0254382692","-0,619162969","-1,037083229","0,3502314979","-1,555169113","1,1625462355","-0,303025046"
1,0,354108,2527356,193120,267528,0,0,0,0,750,439,24,1,74,0,0,0,"0,7640461821","-0,472837965","-1,740193743","1,0662097518","-0,022123141","-0,482542906","-0,381569807"
1,0,354108,1771596,193128,267520,0,0,0,8,652,243,24,1,75,0,0,0,"0,2129227887","-0,914673624","-1,678398899","0,369065206","-0,430655095","0,2680207235","-0,24250478"
1,0,353852,1035956,193128,267804,138,0,294,0,658,330,24,1,75,0,0,0,"0,6294878814","-0,662104405","-1,367937479","0,2498730667","-1,313084386","1,2017598044","0,2820021294"
1,0,353596,2765564,193128,267844,84,0,84,0,921,603,25,1,74,0,0,0,"1,4028486975","0,6252430715","-1,691979712","1,9481382607","-0,278872954","-0,594804351","-0,686955794"
1,0,353596,2004728,193128,267844,0,0,0,2,672,236,24,1,75,0,0,0,"0,2296193436","-0,87480366","-1,664147194","0,5065392304","-0,263018027","0,0238262787","-0,201154249"
1,0,353596,1246968,193136,267844,6,0,6,6,682,255,24,1,75,0,0,0,"0,2530703837","-0,847474933","-1,526030214","0,0728930361","-0,81163285","0,8079043561","-0,400218289"
1,0,353596,2885168,193136,267844,0,0,0,0,672,293,24,1,74,0,0,0,"0,4896329012","-0,706577809","-1,817995009","1,0530913493","0,3548105339","-0,897747294","-0,043282588"
1,0,353596,2208368,193136,267844,0,0,0,2,419,239,24,1,75,0,0,0,"-0,130309968","-1,108728677","-1,83584822","0,4059497267","-0,008087956","-0,217757044","0,2163900351"
1,0,353596,1475168,193136,267844,0,0,0,0,557,390,24,1,75,0,0,0,"0,2129267475","-0,792282311","-1,619796448","0,2247837417","-0,659216446","0,5805055547","-0,310734187"
1,0,353596,752152,193144,267848,0,0,0,8,411,229,24,1,75,0,0,0,"-0,2008502","-1,147793605","-1,608612412","-0,527473574","-0,994345848","1,2603124385","-0,146158267"
1,0,353596,2491044,193144,267848,0,0,0,2,475,320,24,1,74,0,0,0,"0,2185789009","-0,864887652","-1,8588472","0,6527262836","0,1613700785","-0,518175435","0,1140068961"
1,0,353596,1770716,193144,267848,0,0,0,2,413,258,24,2,75,0,0,0,"0,421888899","-1,060883502","-1,349981343","0,5208060784","-0,65223196","0,0895627349","0,5491331229"
1,0,353596,1033020,193144,267848,0,0,0,0,383,220,24,1,75,0,0,0,"-0,246148711","-1,170966499","-1,679034013","-0,392399296","-0,783377418","0,9685648587","-0,017314061"
1,0,353596,2697420,193152,267856,0,0,0,10,439,292,24,2,74,0,0,0,"0,7010272532","-0,912041272","-1,488711407","1,1058285097","-0,002855246","-0,880346735","0,6935591638"
1,0,353596,1977596,193152,267856,0,0,0,0,415,225,24,1,75,0,0,0,"-0,161465125","-1,127718446","-1,806697899","0,2398804624","-0,155781001","0,0132259114","0,1772342303"
1,0,353596,1248508,193152,267856,0,0,0,0,427,250,24,1,75,0,0,0,"-0,141373305","-1,09025018","-1,682205161","-0,18424409","-0,673783288","0,7620521189","-0,052435146"
1,0,353596,2914468,193160,267856,0,0,0,12,463,298,24,2,74,0,0,0,"0,7509774292","-0,883265415","-1,505383478","1,2734211284","0,1305599504","-1,096458389","0,7080711757"
1,0,353596,2255044,193160,267856,0,0,0,0,417,239,24,1,75,0,0,0,"-0,133720971","-1,106246955","-1,845913185","0,43194195","0,0247839216","-0,265652498","0,2337996359"
1,0,353596,1530000,193160,267856,0,0,0,0,420,229,24,1,75,0,0,0,"-0,165553864","-1,120783926","-1,733498034","-0,034447753","-0,466276102","0,4700823072","0,0502633159"
1,0,353596,806960,193160,267856,0,0,0,6,417,243,24,1,75,0,0,0,"-0,176358269","-1,120583847","-1,613140787","-0,474418083","-0,967575463","1,2083777917","-0,15126471"
