runnable_processes,blocked_processes,swap_used,free_memory,buffer_memory,page_cache,swap_in,swap_out,blocks_in,blocks_out,interrupts,context_switches,user_cpu,system_cpu,idle_cpu,io_wait,steal_time,guest_time,Cluster
2,0,354108,2842028,192976,266708,0,0,0,2,678,271,24,1,75,0,0,0,9
1,0,354108,2122204,192984,266708,0,0,0,8,634,246,24,1,75,0,0,0,5
1,0,354108,1364444,192984,266708,0,0,0,0,414,240,24,1,75,0,0,0,6
1,0,354108,2997760,192984,266708,0,0,0,4,428,270,24,1,75,0,0,0,5
1,0,354108,2318360,192984,266708,0,0,0,0,406,232,24,1,75,0,0,0,5
1,0,354108,1562428,192992,266712,0,0,0,6,407,229,24,1,75,0,0,0,6
1,0,354108,803548,192992,266712,0,0,0,2,414,237,24,1,75,0,0,0,6
1,0,354108,2508860,192992,266712,0,0,0,0,445,282,24,1,75,0,0,0,5
1,0,354108,1749068,192992,266712,0,0,0,0,406,228,24,1,75,0,0,0,5
1,0,354108,990896,193000,266752,0,0,20,8,425,252,24,1,75,0,0,0,6
1,0,354108,2694484,193000,266752,0,0,0,0,452,304,24,2,75,0,0,0,7
1,0,354108,1934708,193000,266752,0,0,0,0,429,249,25,1,75,0,0,0,5
1,0,354108,1184640,193000,266752,0,0,0,2,419,234,24,2,75,0,0,0,7
1,0,354108,2846568,193008,266752,0,0,0,6,435,266,24,1,75,0,0,0,5
1,0,354108,2142056,193008,266752,0,0,0,0,428,248,24,1,75,0,0,0,5
1,0,354108,1382532,193008,266752,0,0,0,2,415,233,24,1,75,0,0,0,6
1,0,354108,3004556,193016,266756,0,0,0,6,464,315,24,2,75,0,0,0,7
1,0,354108,2327404,193016,266764,0,0,0,0,420,232,25,1,75,0,0,0,5
1,0,354108,1563480,193016,266764,0,0,0,2,421,239,24,1,75,0,0,0,6
1,0,354108,804908,193016,266764,0,0,0,0,430,244,24,2,75,0,0,0,7
